State,School type,Grade,Which LLMs have you tried?,Which do you use use frequently?,How accessible are they for you?,What subjects have you used them for?,Which have you used LLMs for?,What have LLMs helped?,How often?,Does the version you use cost money?,"If paid, is it worth it?",AI ethics concern,Privacy concern,Strict school policies,Potential features and improvements,Has LLMs improved school work?
California,Private,9,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal de),"Science, Computer Science, English","Writing essays, emails, etc., Science or math homework help, Coding questions, Project ideas","Writing essays, emails, etc., Science or math homework help",4-5 times per week,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Protecting privacy and security better","I think it has improved performance at school, as I often use it for homework help such as science questions. I also mainly use it to generate ideas for essays and things such as that."
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"History, English",general information on topics ,Summarizing text,Rarely,No,,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",nun 
California,Public,9,"None, Im a good child I dont use these stuff","None, I TOLD U I DONT USE THESE",Always (i.e. you own a personal de),😑,🥱,🙄,Never,no,,1,1,4,Idc,No stop asking Im a good kid
California ,Public,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing",None,Always (i.e. you own a personal de),None,None,"Translating languages, None",Never,No,4,3,3,4,"Work with pictures, sound, and videos, Better explanations, More natural at conversing, Protecting privacy and security better","Depends on the usage, "
California,Private,8,"QuestionAi, Replit AI",None,Always (i.e. you own a personal de),"Math, Computer Science","Science or math homework help, Coding questions","Science or math homework help, Coding questions",Rarely,No,3,3,4,4,"Better at understanding complex questions, More correct answers",No
California,Private,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing, Question AI","ChatGPT, Microsoft Bing, Question AI",Always (i.e. you own a personal de),"Math, Science, Computer Science, History, English, Other Language, Literature","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages",Daily,No,2,1,1,1,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",yes
California,Private,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Science, Computer Science, History, English","Writing essays, emails, etc., Creating study plans",Creating study plans,2-3 times per week,No,,4,5,4,"Work with pictures, sound, and videos, More correct answers",
California,Public,8,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Math, English",Science or math homework help,None,Once a week,No,3,4,4,4,More correct answers,No
California,Private,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing",ChatGPT,Always (i.e. you own a personal de),"Computer Science, History, Other Language","Writing essays, emails, etc., Summarizing text, Coding questions, Project ideas, Translating languages","Writing essays, emails, etc., Summarizing text, Coding questions, Project ideas, Translating languages",2-3 times per week,No,,2,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, More natural at conversing","Yes, they have helped simplify complex topics. "
California,Public,8,ChatGPT,None,Always (i.e. you own a personal de),"Math, Other Language","Science or math homework help, Translating languages","Science or math homework help, Translating languages",Rarely,No,,4,4,3,"Better at understanding complex questions, Better explanations, Protecting privacy and security better",Yes
California ,Public,9,"ChatGPT, Google Gemini/Bard, Claude","ChatGPT, Claude",Always (i.e. you own a personal de),"Science, Computer Science, English","Writing essays, emails, etc., Science or math homework help, Coding questions","Writing essays, emails, etc., Science or math homework help, Coding questions",2-3 times per week,Yes,4,3,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations",Sometimes as it may be inaccurate at certain points. 
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Science, Computer Science, English","Summarizing text, Coding questions, Project ideas","Summarizing text, Coding questions, Project ideas",Rarely,No,,4,5,4,"Better at understanding complex questions, Better explanations",I think that LLMs might help me understand concepts I don't understand
California,Public,8,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,1,1,3,2,"Work with pictures, sound, and videos","No, increased reliance on such tools may lower the level of other fyndemental skills that you may develope. this may impair how you learn and comprimise learning."
California,Public,8,Microsoft Bing,None,Always (i.e. you own a personal de),"English, Other Language",Translating languages,Translating languages,Rarely,No,,3,4,4,"Better at understanding complex questions, Protecting privacy and security better",No
California,Public,9,"ChatGPT, Google Gemini/Bard, Microsoft Bing, Large Language Model Meta AI (Llama), Claude",None,Always (i.e. you own a personal de),None,None,None,Rarely,No,4,3,3,4,"Better at understanding complex questions, More correct answers",yes
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),Math,Science or math homework help,Science or math homework help,Rarely,No,3,4,2,4,"Better at understanding complex questions, Understanding emotions","yes, it helps me with explaining things when it is not convenient for me to find someone to help me"
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Science, History, English, art","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas","Science or math homework help, Summarizing text, Project ideas",Rarely,No,,5,4,4,"Better at understanding complex questions, More correct answers, Better explanations",
California,Public,10,"ChatGPT, Google Gemini/Bard","ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal de),funny,None,None,Daily,No,1,3,3,3,math,no
California,Public,9,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal de),"Math, Science","Science or math homework help, Summarizing text, Project ideas",Summarizing text,Rarely,No,1,2,2,4,"Better at understanding complex questions, More correct answers",Yes
California,Private,9,ChatGPT,None,Always (i.e. you own a personal de),Science,"Summarizing text, Project ideas","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas",Rarely,No,1,4,2,5,"Work with pictures, sound, and videos, Better explanations, Understanding emotions, Protecting privacy and security better",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),English,Project ideas,None,Rarely,No,,2,5,4,"More correct answers, Understanding emotions, Protecting privacy and security better",Nah
California,Public,9,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,3,4,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers",No idea
California,Public,9,"ChatGPT, Google Gemini/Bard, Microsoft Bing","ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal de),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Summarizing text, Coding questions","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans",4-5 times per week,No,2,3,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers",Yes
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Math, Science, Computer Science","Writing essays, emails, etc., Science or math homework help, Coding questions, Project ideas","Writing essays, emails, etc., Science or math homework help, Coding questions, Project ideas",Rarely,No,3,2,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos",Not neccessarily
California,Public,9,None,None,Always (i.e. you own a personal de),Other Language,Translating languages,Summarizing text,Rarely,No,,3,4,4,"Better explanations, More natural at conversing, Protecting privacy and security better",yes
California,Public,9,"ChatGPT, Google Gemini/Bard, Large Language Model Meta AI (Llama)",ChatGPT,Always (i.e. you own a personal de),"Math, Computer Science, English, Other Language","Writing essays, emails, etc., Summarizing text, Coding questions, Project ideas, Translating languages","Writing essays, emails, etc., Summarizing text, Coding questions, Translating languages",Daily,Yes,3,4,3,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations","Large learning models such as Chatgpt have multiple used. While I don't often use it for school purposes, in the future it will most likely have at least some use for me, whether it be used for homework, etc as A.I will continue to improve."
California,Public,8,None,None,Always (i.e. you own a personal de),None,None,None,Never,no,1,2,4,4,I don't use any,I dont know what that is
California,Public,8,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal de),"Science, History","Science or math homework help, Project ideas","Science or math homework help, Project ideas",2-3 times per week,No,1,3,4,4,"Better at understanding complex questions, Work with pictures, sound, and videos, Protecting privacy and security better",maybe
California,Private,8,"ChatGPT, Google Gemini/Bard, Microsoft Bing",None,Always (i.e. you own a personal de),"Computer Science, English, Other Language","Writing essays, emails, etc., Coding questions, Translating languages","Writing essays, emails, etc., Coding questions",Rarely,No,1,1,3,4,"Better at understanding complex questions, More correct answers, Protecting privacy and security better",LLM will improve my performance in school by increasing the efficiency of completing school work.
California,Public,8,ChatGPT,None,Always (i.e. you own a personal de),Computer Science,Coding questions,Coding questions,Rarely,No,3,4,4,3,"Better at understanding complex questions, Better explanations",It has as it has helped me with learning python for a computer science class.
California,Public,8,"ChatGPT, Microsoft Bing, Large Language Model Meta AI (Llama), Claude","ChatGPT, Microsoft Bing",Always (i.e. you own a personal de),"Math, Computer Science","Summarizing text, Coding questions, Translating languages","Coding questions, Translating languages",2-3 times per week,No,,3,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations","Not in school, but in more advanced classes and ECs."
California,Public,9,"ChatGPT, Microsoft Bing",None,Always (i.e. you own a personal de),"History, English","Summarizing text, Project ideas","Writing essays, emails, etc.",Rarely,No,3,4,5,4,"Better at understanding complex questions, Better explanations, More natural at conversing",
California,Public,9,"ChatGPT, Google Gemini/Bard","ChatGPT, Google Gemini/Bard",Always (i.e. you own a personal de),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text, Coding questions, Project ideas, Creating study plans, Translating languages","Science or math homework help, Summarizing text, Coding questions, Creating study plans, Translating languages",4-5 times per week,No,,2,4,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing",
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Math, English, Ran for president and used it to help create my speech.","Writing essays, emails, etc., Science or math homework help, Project ideas","Writing essays, emails, etc., Science or math homework help, Project ideas",Rarely,No,,3,5,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Protecting privacy and security better",
California,Public,9,"ChatGPT, Google Gemini/Bard",Google Gemini/Bard,Always (i.e. you own a personal de),"Math, History, English, Other Language","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Science or math homework help, Summarizing text, Project ideas, Creating study plans, Translating languages",4-5 times per week,No,,2,3,3,"Better at understanding complex questions, More natural at conversing, Understanding emotions, Protecting privacy and security better",Yes
California,Private,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Science, History, English","Writing essays, emails, etc., Summarizing text","Writing essays, emails, etc., Summarizing text",Once a week,No,2,2,2,3,"Work with pictures, sound, and videos, More correct answers, Better explanations",It helps me becuase it can summarize and help me do my homework.
California,Public,9,"ChatGPT, Google Gemini/Bard",None,Always (i.e. you own a personal de),"Math, Science, Computer Science, History, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc., Science or math homework help, Summarizing text",Rarely,No,,1,3,4,"Work with pictures, sound, and videos",
California,Private,8,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Computer Science, History, English","Summarizing text, Coding questions","Summarizing text, Coding questions",2-3 times per week,No,,4,4,4,"Better at understanding complex questions, More correct answers",yes
California,Private,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Math, Science, History, Other Language","Science or math homework help, Summarizing text, Project ideas, Creating study plans","Science or math homework help, Summarizing text, Project ideas, Creating study plans",Once a week,No,,4,4,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",
California,Public,9,Microsoft Bing,Microsoft Bing,Always (i.e. you own a personal de),English,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,1,1,3,4,More correct answers,negligibly
California,Public,8,"ChatGPT, Google Gemini/Bard",Google Gemini/Bard,Always (i.e. you own a personal de),"Math, English","Science or math homework help, Summarizing text, Coding questions, Translating languages","Science or math homework help, Creating study plans, Translating languages",Once a week,No,2,1,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, Protecting privacy and security better",Yes
California,Public,9,Google Gemini/Bard,None,Always (i.e. you own a personal de),"Math, English","Science or math homework help, Finding information for a research topic. ","Science or math homework help, Finding information for a research topic. ",Rarely,No,,1,2,4,"Better at understanding complex questions, More natural at conversing, Understanding emotions, Protecting privacy and security better",It'll probably help me find information quickly.
California,Private,9,"ChatGPT, Microsoft Bing, Perplexity",Perplexity,Always (i.e. you own a personal de),None,None,None,2-3 times per week,No,1,5,1,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
California,Public,9,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,,4,4,4,"Better at understanding complex questions, Better explanations, More natural at conversing, Protecting privacy and security better",
California,Public,9,"ChatGPT, Microsoft Bing","ChatGPT, Microsoft Bing",Always (i.e. you own a personal de),"Math, English","Writing essays, emails, etc., Project ideas","Writing essays, emails, etc.",Rarely,No,3,4,3,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, Protecting privacy and security better",Not really
California,Public,9,ChatGPT,ChatGPT,Always (i.e. you own a personal de),"Science, English, Other Language","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages","Writing essays, emails, etc., Summarizing text, Project ideas, Creating study plans, Translating languages",Rarely,No,3,5,5,3,"Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",it helps me plan for school but I rarely use it (it still helps me a lot when I use it though)
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),None,"Writing essays, emails, etc.","Writing essays, emails, etc.",Rarely,No,,3,4,4,"Better at understanding complex questions, More correct answers, Protecting privacy and security better",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),None,None,None,Never,I don’t use,,2,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",Not really no
California,Private,9,"ChatGPT, Microsoft Bing",ChatGPT,Always (i.e. you own a personal de),"Computer Science, English","Writing essays, emails, etc., Summarizing text, Coding questions, Project ideas",Coding questions,Rarely,No,,4,4,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",
California,Private,9,ChatGPT,None,Always (i.e. you own a personal de),"English, Other Language",Summarizing text,Summarizing text,Rarely,No,,3,3,5,"More correct answers, Better explanations",
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),English,"Writing essays, emails, etc., Summarizing text, Project ideas","Summarizing text, Project ideas",Rarely,No,1,4,2,4,"More correct answers, Better explanations, Understanding emotions",
California,Private,9,ChatGPT,None,Always (i.e. you own a personal de),English,Project ideas,Project ideas,Never,No,,5,4,2,Better explanations,
California,Public,9,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal de),English,"Writing essays, emails, etc., Project ideas","Writing essays, emails, etc., Summarizing text, Translating languages",Once a week,No,1,2,2,4,"Better at understanding complex questions, More correct answers",nope
California,Private,9,"Google Gemini/Bard, Microsoft Bing",Google Gemini/Bard,Always (i.e. you own a personal de),Science,Science or math homework help,Science or math homework help,2-3 times per week,No,,4,3,2,"Work with pictures, sound, and videos, More correct answers",
California,Public,9,None,None,Always (i.e. you own a personal de),None,None,None,Never,No,,3,2,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions",
California,Public,9,"ChatGPT, Google Gemini/Bard",ChatGPT,Always (i.e. you own a personal de),"English, applications and leadership work","Summarizing text, Project ideas","Summarizing text, Project ideas",2-3 times per week,No,3,3,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, More natural at conversing","No, only for brainstorming and ideas."
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),Math,Science or math homework help,Science or math homework help,Once a week,No,3,1,3,3,Better at understanding complex questions,maybe
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),brainstorm,Project ideas,Project ideas,Rarely,No,,3,1,5,"Work with pictures, sound, and videos, Better explanations",yes
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),English,"Writing essays, emails, etc., Project ideas, Creating study plans","Writing essays, emails, etc.",Rarely,No,1,2,3,3,"Better at understanding complex questions, More correct answers",It's helped me with correcting emails I've sent.
California,Public,9,"ChatGPT, Microsoft Bing","ChatGPT, None",Always (i.e. you own a personal de),Experiment,None,Summarizing text,Rarely,No,2,3,2,3,"Better at understanding complex questions, Better explanations",Maybe
California,Public,9,"ChatGPT, Microsoft Bing",None,Always (i.e. you own a personal de),None,None,None,Never,Never use one frequently,,4,3,3,"Better at understanding complex questions, Work with pictures, sound, and videos, Better explanations, Understanding emotions, Protecting privacy and security better","If I used it, yes."
California,Private,9,"ChatGPT, Google Gemini/Bard","ChatGPT, Google Gemini/Bard, hugging chat",Always (i.e. you own a personal de),"Science, English","Writing essays, emails, etc., Science or math homework help, Summarizing text","Writing essays, emails, etc.",Once a week,No,1,3,4,5,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations, More natural at conversing, Understanding emotions, Protecting privacy and security better",yes
California,Private,9,"ChatGPT, Google Gemini/Bard",None,Always (i.e. you own a personal de),"History, Expository Writing",Project ideas,"Summarizing text, Project ideas, creative titles",Rarely,No,,3,4,4,"More correct answers, Better explanations, Protecting privacy and security better",If used in the right way like study plans
California,Public,9,ChatGPT,None,Always (i.e. you own a personal de),"Science, Computer Science, History, Other Language","Coding questions, Creating study plans, Translating languages","Coding questions, Translating languages",Rarely,No,1,3,2,4,"Better at understanding complex questions, Work with pictures, sound, and videos, More correct answers, Better explanations","I suppose using LLMs could improve my performance in academic activities as it would provide another ""person"" with a bigger data base that can peer review, create or summarize my work. "
California,Private,9,"ChatGPT, Google Gemini/Bard",None,Always (i.e. you own a personal de),"Math, Computer Science, English",Science or math homework help,Science or math homework help,Rarely,No,,3,5,5,"Better at understanding complex questions, More correct answers, Protecting privacy and security better",No
California,Public,9,"ChatGPT, Microsoft Bing",Microsoft Bing,Always (i.e. you own a personal de),"Science, Debate/Research","Writing essays, emails, etc., Summarizing text","Summarizing text, Translating languages",Rarely,No,,1,4,3,"Better at understanding complex questions, Better explanations, Protecting privacy and security better",
